YEARNO,FireName,GISNO,NIFCNO,FireNumber,FORID,UniqueFireIdentifier,RelatedIrwinIDs,FireId,FireCode,FireType,Response,Landowner,Responder,FireUse,Cause,GeneralCause,SpecificCause,StartDate,IADate,ControlDate,OutDate,GIS_Acres,ControlAcr,UTME,UTMN,LongNAD83,LatNAD83,ContainDate,FireReport,Shape_Length,Shape_Area
1972.000000000000000,Azalea 5,1972039.000000000000000,2033.000000000000000,2033.000000000000000,,,,211568.000000000000000, ,WF,Full Suppression,NPS,NPS,No,Human,Recreation and ceremony,Campfire,8/19/1972 0:00:00,8/19/1972 0:00:00,8/19/1972 0:00:00,8/19/1972 0:00:00,0.222410300000000,0.100000000000000,324432.000000000000000,4068196.000000000000000,-118.966499999999996,36.743270000000003,,,120.001700023601899,900.025499966531697
1950.000000000000000,Crescent Q,1950005.000000000000000,38.000000000000000,38.000000000000000,,,,210458.000000000000000, ,WF,Full Suppression,NPS,NPS,No,Human,Recreation and ceremony,Campfire,6/27/1950 0:00:00,6/27/1950 0:00:00,6/27/1950 0:00:00,6/27/1950 0:00:00,0.222443120000000,0.100000000000000,342978.000000000000000,4046891.000000000000000,-118.754499999999993,36.554549999999999,,,120.001600021615246,900.024000014230182
1954.000000000000000,Bearpaw Md,1954013.000000000000000,4032.000000000000000,4032.000000000000000,,,,210636.000000000000000, ,WF,Full Suppression,NPS,NPS,No,Human,Smoking,Unknown,9/4/1954 0:00:00,9/4/1954 0:00:00,9/6/1954 0:00:00,9/8/1954 0:00:00,0.222461380000000,1.000000000000000,355413.000000000000000,4048560.000000000000000,-118.615930000000006,36.571550000000002,,,120.000900047304683,900.013499707067808
2016.000000000000000,Dorst RX,2016173.000000000000000,173.000000000000000,173.000000000000000,,,,700952.000000000000000, ,RX,Planned Ignition,NPS,NPS,Not Applicable,Human,Prescribed Fire,Broadcast burn,10/10/2016 0:00:00,10/10/2016 0:00:00,10/12/2016 0:00:00,10/31/2016 0:00:00,191.017993139999987,191.000000000000000,338146.000000000000000,4056535.000000000000000,-118.810800000000000,36.640599999999999,,,5405.066011720769893,772903.216261071618646
1964.000000000000000,Wolverton,1964019.000000000000000,4015.000000000000000,4015.000000000000000,,,,211103.000000000000000, ,WF,Full Suppression,NPS,NPS,No,Human,Smoking,Unknown,8/22/1964 0:00:00,8/22/1964 0:00:00,8/22/1964 0:00:00,8/23/1964 0:00:00,0.222445810000000,0.100000000000000,345913.000000000000000,4051775.000000000000000,-118.722700000000003,36.599040000000002,,,120.000900054696757,900.013499777946777
1938.000000000000000,Clover Crk,1938004.000000000000000,8012.000000000000000,8012.000000000000000,,,,210140.000000000000000, ,WF,Full Suppression,NPS,NPS,No,Natural,Natural,Lightning,7/22/1938 0:00:00,7/23/1938 0:00:00,7/23/1938 0:00:00,7/23/1938 0:00:00,0.222446540000000,0.100000000000000,346570.000000000000000,4057313.000000000000000,-118.716459999999998,36.649039999999999,,,120.000700046977940,900.010499772163939
2009.000000000000000,Horse,2009014.000000000000000,14.000000000000000,14.000000000000000,{8195F738-56D8-4E5F-97DD-A8CAC4A35A7E},2009-CAKNP-000014,,597445.000000000000000,E2D4,WF,Monitor,NPS,NPS,Yes,Natural,Natural,Lightning,7/19/2009 0:00:00,7/19/2009 0:00:00,10/12/2009 0:00:00,12/7/2009 0:00:00,664.116388710000024,664.000000000000000,352453.000000000000000,4028164.000000000000000,-118.645103000000006,36.387296999999997,,"The Horse Fire was lighting caused and detected by the park trail crew. Shortly after detection, the Sequoia Duty Officer, David Allen, reconned the fire via Helicopter 552. A strategy to monitor the fire was chosen due to the high elevation (9,000 ft)incident location.   Hockett Ranger Station is located 1.5 miles from the origin; therefore, the fire was staffed with two fire monitors to evaluate the threat to the cabin and map the fire. The fire was evaluated as a low threat to the Hockett Ranger Station and was successfully managed throughout the summer, with two-three fire monitors.   On August 31 a CalFire air tanker did an accidental retardant drop on the fire because the air tanker pilot mistook the Horse Fire for a different incident.  A small holding action took place on Oct 11 to secure the Hockett Ranger Station during a one acre patch of grass burn out operation around the Ranger Station.",9436.759580739906596,2686872.358300759457052
1929.000000000000000,Castle Roc,1929003.000000000000000,9003.000000000000000,9003.000000000000000,,,,209909.000000000000000, ,WF,Full Suppression,NPS,NPS,No,Natural,Natural,Lightning,6/14/1929 0:00:00,6/14/1929 0:00:00,6/14/1929 0:00:00,6/15/1929 0:00:00,0.222444820000000,0.100000000000000,344985.000000000000000,4041952.000000000000000,-118.731099999999998,36.510370000000002,,,120.001000045703577,900.014999700549083
1949.000000000000000,Yucca Rid,1949027.000000000000000,9028.000000000000000,9028.000000000000000,,,,210409.000000000000000, ,WF,Full Suppression,NPS,NPS,No,Natural,Natural,Lightning,8/22/1949 0:00:00,8/22/1949 0:00:00,8/22/1949 0:00:00,8/22/1949 0:00:00,0.222428660000000,0.100000000000000,334779.000000000000000,4050785.000000000000000,-118.846909999999994,36.588250000000002,,,120.001500019951791,900.022499931778384
1980.000000000000000,Tent,1980011.000000000000000,37.000000000000000,37.000000000000000,,,,212208.000000000000000, ,WF,Monitor,NPS,NPS,Yes,Natural,Natural,Lightning,7/6/1980 0:00:00,7/6/1980 0:00:00,11/1/1980 0:00:00,11/1/1980 0:00:00,999.314471400000002,945.000000000000000,358205.000000000000000,4077679.000000000000000,-118.590130000000002,36.834370000000000,,,12960.047004521935378,4042822.145491719711572
